,asset,date,count
0,BTC,2021-12-16,2
1,BTC,2021-12-19,9
2,BTC,2021-12-20,25
3,BTC,2021-12-21,35
4,BTC,2021-12-22,23
5,BTC,2021-12-23,18
6,BTC,2021-12-24,20
7,BTC,2021-12-25,13
8,BTC,2021-12-26,8
9,BTC,2021-12-27,33
10,BTC,2021-12-28,21
11,BTC,2021-12-29,36
12,BTC,2021-12-30,37
13,BTC,2021-12-31,60
14,BTC,2022-01-01,17
15,BTC,2022-01-02,19
16,BTC,2022-01-03,21
17,BTC,2022-01-04,15
18,BTC,2022-01-05,14
19,BTC,2022-01-06,19
20,BTC,2022-01-07,21
21,BTC,2022-01-08,6
22,BTC,2022-01-09,10
23,BTC,2022-01-10,15
24,BTC,2022-01-11,13
25,BTC,2022-01-12,13
26,BTC,2022-01-13,22
27,BTC,2022-01-14,38
28,BTC,2022-01-15,10
29,BTC,2022-01-16,6
30,BTC,2022-01-17,12
31,BTC,2022-01-18,7
32,BTC,2022-01-19,11
33,BTC,2022-01-20,12
34,BTC,2022-01-21,17
35,BTC,2022-01-22,8
36,BTC,2022-01-23,5
37,BTC,2022-01-24,7
38,BTC,2022-01-25,7
39,BTC,2022-01-26,8
40,BTC,2022-01-27,9
41,BTC,2022-01-28,25
42,BTC,2022-01-29,5
43,BTC,2022-01-30,9
44,BTC,2022-01-31,4
45,BTC,2022-02-01,11
46,BTC,2022-02-02,4
47,BTC,2022-02-03,9
48,BTC,2022-02-04,13
49,BTC,2022-02-05,3
50,BTC,2022-02-06,3
51,BTC,2022-02-07,2
52,BTC,2022-02-08,6
53,BTC,2022-02-09,6
54,BTC,2022-02-10,10
55,BTC,2022-02-11,6
56,BTC,2022-02-12,4
57,BTC,2022-02-13,4
58,BTC,2022-02-14,5
59,BTC,2022-02-15,8
60,BTC,2022-02-16,8
61,BTC,2022-02-17,8
62,BTC,2022-02-18,10
63,BTC,2022-02-19,4
64,BTC,2022-02-20,4
65,BTC,2022-02-21,2
66,BTC,2022-02-22,4
67,BTC,2022-02-23,2
68,BTC,2022-02-24,7
69,BTC,2022-02-25,6
70,BTC,2022-02-26,3
71,BTC,2022-02-27,2
72,BTC,2022-02-28,2
73,BTC,2022-03-01,2
74,BTC,2022-03-02,6
75,BTC,2022-03-03,8
76,BTC,2022-03-04,11
77,BTC,2022-03-05,2
78,BTC,2022-03-06,8
79,BTC,2022-03-07,6
80,BTC,2022-03-08,3
81,BTC,2022-03-09,4
82,BTC,2022-03-10,3
83,BTC,2022-03-11,4
84,BTC,2022-03-12,3
85,BTC,2022-03-13,4
86,BTC,2022-03-14,5
87,BTC,2022-03-15,4
88,DGLN,2021-12-26,1
89,DGLN,2022-01-16,1
90,DGLN,2022-01-25,1
91,ETH,2021-12-21,1
92,ETH,2021-12-23,1
93,ETH,2021-12-24,12
94,ETH,2021-12-25,6
95,ETH,2021-12-26,14
96,ETH,2021-12-27,23
97,ETH,2021-12-28,16
98,ETH,2021-12-29,16
99,ETH,2021-12-30,17
100,ETH,2021-12-31,17
101,ETH,2022-01-01,21
102,ETH,2022-01-02,11
103,ETH,2022-01-03,26
104,ETH,2022-01-04,14
105,ETH,2022-01-05,9
106,ETH,2022-01-06,16
107,ETH,2022-01-07,9
108,ETH,2022-01-08,5
109,ETH,2022-01-09,8
110,ETH,2022-01-10,7
111,ETH,2022-01-11,10
112,ETH,2022-01-12,9
113,ETH,2022-01-13,16
114,ETH,2022-01-14,34
115,ETH,2022-01-15,10
116,ETH,2022-01-16,8
117,ETH,2022-01-17,11
118,ETH,2022-01-18,9
119,ETH,2022-01-19,9
120,ETH,2022-01-20,14
121,ETH,2022-01-21,11
122,ETH,2022-01-22,6
123,ETH,2022-01-23,5
124,ETH,2022-01-24,4
125,ETH,2022-01-25,2
126,ETH,2022-01-26,4
127,ETH,2022-01-27,4
128,ETH,2022-01-28,13
129,ETH,2022-01-29,4
130,ETH,2022-01-30,7
131,ETH,2022-01-31,3
132,ETH,2022-02-01,4
133,ETH,2022-02-02,6
134,ETH,2022-02-03,9
135,ETH,2022-02-04,12
