,asset,usd,epoch,amount,amt_usd
0,ETH,2604.56,Epoch 2 - 2021-12-23,1.044538,2720.56189328
1,ETH,2604.56,Epoch 3 - 2021-12-30,0.999,2601.9554399999997
2,ETH,2604.56,Epoch 4 - 2022-01-06,66.196243,172412.08666807998
3,ETH,2604.56,Epoch 5 - 2022-01-13,123.489594,321636.05694864
4,ETH,2604.56,Epoch 6 - 2022-01-20,233.172316,607311.2873609599
5,ETH,2604.56,Epoch 7 - 2022-01-27,526.151651,1370393.54412856
6,ETH,2604.56,Epoch 8 - 2022-02-03,808.895109,2106815.8450970403
7,ETH,2604.56,Epoch 9 - 2022-02-10,191.196309,497982.25856904004
8,ETH,2604.56,Epoch 10 - 2022-02-17,221.803515,577700.5630284
9,ETH,2604.56,Epoch 11 - 2022-02-24,197.400646,514141.82654576
10,ETH,2604.56,Epoch 12 - 2022-03-03,159.505592,415441.88469952
11,ETH,2604.56,Epoch 13 - 2022-03-10,207.47919199999998,540392.0043155199
12,SOL,81.78,Epoch 1 - 2021-12-16,808.180311345,66092.98586179409
13,SOL,81.78,Epoch 2 - 2021-12-23,10811.811293826,884189.9276090903
14,SOL,81.78,Epoch 3 - 2021-12-30,6489.148168131,530682.5371897531
15,SOL,81.78,Epoch 4 - 2022-01-06,23052.900533758,1885266.2056507291
16,SOL,81.78,Epoch 5 - 2022-01-13,34930.804600416,2856641.2002220205
17,SOL,81.78,Epoch 6 - 2022-01-20,56201.208471539,4596134.82880246
18,SOL,81.78,Epoch 7 - 2022-01-27,81884.488106206,6696513.437325527
19,SOL,81.78,Epoch 8 - 2022-02-03,93853.415312614,7675332.304265573
20,SOL,81.78,Epoch 9 - 2022-02-10,19973.015683885,1633393.2226281154
21,SOL,81.78,Epoch 10 - 2022-02-17,31751.965028599,2596675.700038826
22,SOL,81.78,Epoch 11 - 2022-02-24,11357.956434393,928853.6772046596
23,SOL,81.78,Epoch 12 - 2022-03-03,9177.508651126,750536.6574890843
24,SOL,81.78,Epoch 13 - 2022-03-10,17115.612307573,1399714.7745133198
25,BTC,39206.0,Epoch 1 - 2021-12-16,0.001998,78.333588
26,BTC,39206.0,Epoch 2 - 2021-12-23,0.99,38813.94
27,BTC,39206.0,Epoch 3 - 2021-12-30,17.550471,688083.766026
28,BTC,39206.0,Epoch 4 - 2022-01-06,255.912556,10033307.670536
29,BTC,39206.0,Epoch 5 - 2022-01-13,43.441089,1703151.335334
30,BTC,39206.0,Epoch 6 - 2022-01-20,54.565188,2139282.760728
31,BTC,39206.0,Epoch 7 - 2022-01-27,91.361478,3581918.106468
32,BTC,39206.0,Epoch 8 - 2022-02-03,215.1194,8433971.1964
33,BTC,39206.0,Epoch 9 - 2022-02-10,74.685931,2928136.610786
34,BTC,39206.0,Epoch 10 - 2022-02-17,17.138411,671928.541666
35,BTC,39206.0,Epoch 11 - 2022-02-24,83.255157,3264101.685342
36,BTC,39206.0,Epoch 12 - 2022-03-03,51.93132800000001,2036019.6455680004
37,BTC,39206.0,Epoch 13 - 2022-03-10,5.213818,204412.948508
38,LUNA,91.42,Epoch 3 - 2021-12-30,111.15547299999999,10161.833341659998
39,LUNA,91.42,Epoch 4 - 2022-01-06,10168.837517,929635.12580414
40,LUNA,91.42,Epoch 5 - 2022-01-13,29532.134405,2699827.7273051003
41,LUNA,91.42,Epoch 6 - 2022-01-20,28655.134213,2619652.36975246
42,LUNA,91.42,Epoch 7 - 2022-01-27,44739.713822,4090104.6376072397
43,LUNA,91.42,Epoch 8 - 2022-02-03,13709.046926,1253281.06997492
44,LUNA,91.42,Epoch 9 - 2022-02-10,9012.523447,823924.89352474
45,LUNA,91.42,Epoch 10 - 2022-02-17,11380.654577000001,1040419.4414293402
46,LUNA,91.42,Epoch 11 - 2022-02-24,19476.796971,1780568.77908882
47,LUNA,91.42,Epoch 12 - 2022-03-03,60958.321471999996,5572809.748970239
48,LUNA,91.42,Epoch 13 - 2022-03-10,21010.895682,1920816.08324844
49,SRM,1.81,Epoch 2 - 2021-12-23,14025.723528999999,25386.55958749
50,SRM,1.81,Epoch 3 - 2021-12-30,1514.828426,2741.83945106
51,SRM,1.81,Epoch 4 - 2022-01-06,51794.841760999996,93748.66358740999
52,SRM,1.81,Epoch 5 - 2022-01-13,51441.479312,93109.07755472
53,SRM,1.81,Epoch 6 - 2022-01-20,183280.05168,331736.8935408
54,SRM,1.81,Epoch 7 - 2022-01-27,78871.41996,142757.2701276
55,SRM,1.81,Epoch 8 - 2022-02-03,116816.02442,211437.0042002
56,SRM,1.81,Epoch 9 - 2022-02-10,57589.029729,104236.14380949001
57,SRM,1.81,Epoch 10 - 2022-02-17,4502.302819,8149.168102390001
58,SRM,1.81,Epoch 11 - 2022-02-24,10325.733778,18689.57813818
59,SRM,1.81,Epoch 12 - 2022-03-03,13236.233407,23957.58246667
60,SRM,1.81,Epoch 13 - 2022-03-10,23362.703636,42286.49358116
61,FTT,41.03,Epoch 2 - 2021-12-23,1.4985,61.483455
62,FTT,41.03,Epoch 3 - 2021-12-30,1041.185279,42719.831997370005
63,FTT,41.03,Epoch 4 - 2022-01-06,27389.529479,1123792.39452337
64,FTT,41.03,Epoch 5 - 2022-01-13,25436.52957,1043660.8082570999
65,FTT,41.03,Epoch 6 - 2022-01-20,16247.788916,666646.77922348
66,FTT,41.03,Epoch 7 - 2022-01-27,9104.382072,373552.79641416
67,FTT,41.03,Epoch 8 - 2022-02-03,10923.379845,448186.27504035
68,FTT,41.03,Epoch 9 - 2022-02-10,9545.20831,391639.89695930004
69,FTT,41.03,Epoch 10 - 2022-02-17,5371.405431,220388.76483393
70,FTT,41.03,Epoch 11 - 2022-02-24,2143.775088,87959.09186064
71,FTT,41.03,Epoch 12 - 2022-03-03,43574.474903999995,1787860.7053111198
72,FTT,41.03,Epoch 13 - 2022-03-10,12215.887704,501217.87249512004
73,scnSOL,84.53,Epoch 2 - 2021-12-23,119.856570765,10131.47592676545
74,scnSOL,84.53,Epoch 3 - 2021-12-30,215.027531217,18176.27721377301
75,scnSOL,84.53,Epoch 4 - 2022-01-06,280.447167296,23706.19905153088
76,scnSOL,84.53,Epoch 5 - 2022-01-13,1357.252074652,114728.51787033356
77,scnSOL,84.53,Epoch 6 - 2022-01-20,297.783281492,25171.62078451876
78,scnSOL,84.53,Epoch 7 - 2022-01-27,4125.1025574529995,348694.9191815021
79,scnSOL,84.53,Epoch 8 - 2022-02-03,916.728548646,77491.06421704638
80,scnSOL,84.53,Epoch 9 - 2022-02-10,1623.030148375,137194.73844213874
81,scnSOL,84.53,Epoch 10 - 2022-02-17,2389.443133667,201979.6280888715
82,scnSOL,84.53,Epoch 11 - 2022-02-24,650.0443567039999,54948.24947218911
83,scnSOL,84.53,Epoch 12 - 2022-03-03,256.086182763,21646.96502895639
84,scnSOL,84.53,Epoch 13 - 2022-03-10,153.21942833699998,12951.638277326609
85,RAY,2.34,Epoch 3 - 2021-12-30,0.0999,0.233766
86,RAY,2.34,Epoch 4 - 2022-01-06,15.511401,36.29667834
87,RAY,2.34,Epoch 5 - 2022-01-13,3580.301885,8377.9064109
88,RAY,2.34,Epoch 6 - 2022-01-20,2241.5965810000002,5245.335999540001
89,RAY,2.34,Epoch 7 - 2022-01-27,2825.30408,6611.2115472
90,RAY,2.34,Epoch 8 - 2022-02-03,1038.005167,2428.9320907799997
91,RAY,2.34,Epoch 9 - 2022-02-10,5629.604868,13173.27539112
92,RAY,2.34,Epoch 10 - 2022-02-17,786.182328,1839.6666475199997
