,amount,asset,date,signer,sender
0,5.0,,2021-12-16,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz
1,1.0,,2021-12-17,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz
2,2.0,,2021-12-21,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz
3,2.0,,2021-12-24,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz
4,1.0,,2021-12-25,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz
5,1.0,,2021-12-29,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz
6,2.0,,2021-12-30,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz
7,1.0,,2022-01-03,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz,Czji82ASw6EmDSVcCHbD6YGJrpZhXA8UofyS5qRtrjpz
8,0.003996,BTC,2021-12-16,7jZVLYBFHfLXEUHxVCxDHDxxxtREALKd2e7QrYu87YSs,7jZVLYBFHfLXEUHxVCxDHDxxxtREALKd2e7QrYu87YSs
9,0.011,BTC,2021-12-16,F38Bjzyu3kUmAWFKeuarg4V1juGaHEFsuHbVHxtkRdbZ,F38Bjzyu3kUmAWFKeuarg4V1juGaHEFsuHbVHxtkRdbZ
10,5.5,BTC,2021-12-19,2WhyVac1EeGkmK2tu6iF7ChWR4me8z94AMtXvPWVWNVH,2WhyVac1EeGkmK2tu6iF7ChWR4me8z94AMtXvPWVWNVH
11,0.010677,BTC,2021-12-19,3HHqQJgQFfhgt3DcUNhNdxorG6NM3CsuWpP59o9Yr6Rf,3HHqQJgQFfhgt3DcUNhNdxorG6NM3CsuWpP59o9Yr6Rf
12,0.002326,BTC,2021-12-19,4YBr9cyePhQJtZMMMWGUMsqe6RDYcTjeYAX1e2K1rkYp,4YBr9cyePhQJtZMMMWGUMsqe6RDYcTjeYAX1e2K1rkYp
13,0.030665,BTC,2021-12-19,5UXUuphPd39xLF4qgdocgRXjmYZdsk2Gx3MV34fab5hV,5UXUuphPd39xLF4qgdocgRXjmYZdsk2Gx3MV34fab5hV
14,0.005,BTC,2021-12-19,6U2f1LRELU6uxVPJkiy7aSff82Pat7En9P92rsnPzCtG,6U2f1LRELU6uxVPJkiy7aSff82Pat7En9P92rsnPzCtG
15,0.0426,BTC,2021-12-19,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT,7C8f8dxxqQEZyKpHMWaQtfGckrkLgUYmfEH9tjcwB8HT
16,0.04,BTC,2021-12-19,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD
17,0.08,BTC,2021-12-19,F38Bjzyu3kUmAWFKeuarg4V1juGaHEFsuHbVHxtkRdbZ,F38Bjzyu3kUmAWFKeuarg4V1juGaHEFsuHbVHxtkRdbZ
18,0.012253,BTC,2021-12-19,FRAQs8rq9bHuSge9UmsGGHpJ79PSwB9wfzBFbw2Yv6yk,FRAQs8rq9bHuSge9UmsGGHpJ79PSwB9wfzBFbw2Yv6yk
19,0.006989,BTC,2021-12-20,287TuzSrFGtrQbFPuXkwuQwX2nmwSpHxAMdmtKwfbzBv,287TuzSrFGtrQbFPuXkwuQwX2nmwSpHxAMdmtKwfbzBv
20,0.001857,BTC,2021-12-20,2jcRMHYs4X8htuwCHYsaKW8scJFFwuStzWbjsphnEkKf,2jcRMHYs4X8htuwCHYsaKW8scJFFwuStzWbjsphnEkKf
21,0.6349,BTC,2021-12-20,34V6WrcKzzhRSeQm57Fr1Ko7auhorwyXFkxaCBoAxawa,34V6WrcKzzhRSeQm57Fr1Ko7auhorwyXFkxaCBoAxawa
22,7.6e-05,BTC,2021-12-20,4d3eH5EaZU7BrrJsuXDfziG966m1c4TiGhQBCZ7bJDv9,4d3eH5EaZU7BrrJsuXDfziG966m1c4TiGhQBCZ7bJDv9
23,0.001847,BTC,2021-12-20,544q1b8uz4cirQnpUkZEJJQqvqpCKRmyfq9KAbQY2JP9,544q1b8uz4cirQnpUkZEJJQqvqpCKRmyfq9KAbQY2JP9
24,0.000338,BTC,2021-12-20,5DsPtGhw9mAxRgbvURM2bQ19ppA3wMeBZTedEZuusjuB,5DsPtGhw9mAxRgbvURM2bQ19ppA3wMeBZTedEZuusjuB
25,0.025,BTC,2021-12-20,6wGzqSWYjB1nukhDwLdgXDzMNSeasuRur3FVZAkVF4pM,6wGzqSWYjB1nukhDwLdgXDzMNSeasuRur3FVZAkVF4pM
26,0.005,BTC,2021-12-20,7Sb2rfir31fWQsrcc632C1xQWB3jJ6WZUsK29KHLeBTg,7Sb2rfir31fWQsrcc632C1xQWB3jJ6WZUsK29KHLeBTg
27,0.000677,BTC,2021-12-20,7ozEZ85JShXE8nTYsbarXQEzSLcVUxbVBt5SYJtH5niK,7ozEZ85JShXE8nTYsbarXQEzSLcVUxbVBt5SYJtH5niK
28,0.110952,BTC,2021-12-20,866t8aEvcdUrW1rZPyrABTiTW6cCe9gq5AADaqPufR9k,866t8aEvcdUrW1rZPyrABTiTW6cCe9gq5AADaqPufR9k
29,0.002112,BTC,2021-12-20,8KSiTFR9LS2j5VvgUhxTfY7Mg1w9j5jspFzaNVthBrhW,8KSiTFR9LS2j5VvgUhxTfY7Mg1w9j5jspFzaNVthBrhW
30,0.002236,BTC,2021-12-20,8NRrJkrYDgMdG9zeU7YJv9FzRBHC4mBiErjhj1zyYKD5,8NRrJkrYDgMdG9zeU7YJv9FzRBHC4mBiErjhj1zyYKD5
31,4.3e-05,BTC,2021-12-20,8VEXtkQsJJN3kVjo7JMyf3Re38K3BoaYwFopxv6LSDRX,8VEXtkQsJJN3kVjo7JMyf3Re38K3BoaYwFopxv6LSDRX
32,0.012,BTC,2021-12-20,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD
