,amount,symbol,cash,date,signer,sender,asset
0,0.01,,tsUSDC,2022-02-02,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,SOL (tsUSDC)
1,148.058395,,tsUSDC,2022-02-05,2DfPUMV7HAiS4gPZ466wzEFYDAdJnvL6zJYJR6SnrMqm,2DfPUMV7HAiS4gPZ466wzEFYDAdJnvL6zJYJR6SnrMqm,SOL (tsUSDC)
2,4594.986147,,tsUSDC,2022-02-05,32beJGsGFLc84RpiTLrg9zVd7qhrhqxxnT5YS4zvnWUw,32beJGsGFLc84RpiTLrg9zVd7qhrhqxxnT5YS4zvnWUw,SOL (tsUSDC)
3,898032.61189,,tsUSDC,2022-02-05,3HixSznhPFXA8ueB2sy9iVmVCZP7McRSR4wUuCVeHfh4,3HixSznhPFXA8ueB2sy9iVmVCZP7McRSR4wUuCVeHfh4,SOL (tsUSDC)
4,10.0,,tsUSDC,2022-02-05,4KebMoBAADpvhXSvNAEgQ9GDf593NKpGmtUmmj4wx5qv,4KebMoBAADpvhXSvNAEgQ9GDf593NKpGmtUmmj4wx5qv,SOL (tsUSDC)
5,10.0,,tsUSDC,2022-02-05,4PmFe617eZJJgSmoUrnWek5efz7QaUMu1KGMW5hJH6Ho,4PmFe617eZJJgSmoUrnWek5efz7QaUMu1KGMW5hJH6Ho,SOL (tsUSDC)
6,494.731495,,tsUSDC,2022-02-05,55nwZS9XiRF6Jytk8UkyfZCCB1dBJxAsawz2og8kNY6H,55nwZS9XiRF6Jytk8UkyfZCCB1dBJxAsawz2og8kNY6H,SOL (tsUSDC)
7,110.279494,,tsUSDC,2022-02-05,6aHVMcBnXSXMHnbYLzZozqDzrmJeCZmY8N6aVtZCYnPV,6aHVMcBnXSXMHnbYLzZozqDzrmJeCZmY8N6aVtZCYnPV,SOL (tsUSDC)
8,1572.959081,,tsUSDC,2022-02-05,71ENAd9PoeQhUgKJZYTcwamWUzTBTwZ8YahYq1WjisiK,71ENAd9PoeQhUgKJZYTcwamWUzTBTwZ8YahYq1WjisiK,SOL (tsUSDC)
9,99.924303,,tsUSDC,2022-02-05,AsiVhEvfYvvJw1QiGNonUMdozpbgt795M65M674GPQr,AsiVhEvfYvvJw1QiGNonUMdozpbgt795M65M674GPQr,SOL (tsUSDC)
