,amount,symbol,cash,date,signer,receiver,asset
104,8210.119159,,tsUSDC,2022-02-06T02:35:21Z,GVs4XuqEC27ppPBsXocH6PNzLAaJhy8JjBZJdYzGbXnX,GVs4XuqEC27ppPBsXocH6PNzLAaJhy8JjBZJdYzGbXnX,SOL (tsUSDC)
105,2993.274927,,tsUSDC,2022-02-07T13:45:25Z,37E7i8oSBuET2tmgXkVJoVq3okxagVDc4uDZpQC5w1aw,37E7i8oSBuET2tmgXkVJoVq3okxagVDc4uDZpQC5w1aw,SOL (tsUSDC)
106,1007.832685,,tsUSDC,2022-02-07T18:39:18Z,BTaRP9veJc1p1dbmyNgyhikUJwZqCCxR1LDSE4GjZW7G,BTaRP9veJc1p1dbmyNgyhikUJwZqCCxR1LDSE4GjZW7G,SOL (tsUSDC)
107,9.97881,,tsUSDC,2022-02-08T06:02:53Z,4adZX5dxmitvyPbqCQXwGn88y1PxCE2EjEbwqPf9HvcA,4adZX5dxmitvyPbqCQXwGn88y1PxCE2EjEbwqPf9HvcA,SOL (tsUSDC)
108,99.824379,,tsUSDC,2022-02-08T21:18:59Z,AsiVhEvfYvvJw1QiGNonUMdozpbgt795M65M674GPQr,AsiVhEvfYvvJw1QiGNonUMdozpbgt795M65M674GPQr,SOL (tsUSDC)
109,147.910337,,tsUSDC,2022-02-09T13:45:19Z,2DfPUMV7HAiS4gPZ466wzEFYDAdJnvL6zJYJR6SnrMqm,2DfPUMV7HAiS4gPZ466wzEFYDAdJnvL6zJYJR6SnrMqm,SOL (tsUSDC)
110,199.525214,,tsUSDC,2022-02-09T14:40:30Z,EWggn4KEgxZDys7p5snawZqzTHvFGSnin3AFRMY1Lvc5,EWggn4KEgxZDys7p5snawZqzTHvFGSnin3AFRMY1Lvc5,SOL (tsUSDC)
111,2494.482479,,tsUSDC,2022-02-09T23:15:51Z,2s55YaU5GT2DZiEdJf4aorwVxYnJyiKHxNjEupU13nt9,2s55YaU5GT2DZiEdJf4aorwVxYnJyiKHxNjEupU13nt9,SOL (tsUSDC)
112,3876.46822,,tsUSDC,2022-02-09T23:29:10Z,Grp3cwXwum32ANiJAd6vYAGz6UPrQi1bVpjYQkf3xTFR,Grp3cwXwum32ANiJAd6vYAGz6UPrQi1bVpjYQkf3xTFR,SOL (tsUSDC)
113,2997.0,,tsUSDC,2022-02-10T13:53:14Z,HZqWbyJ6XCibF6AWWM1HL9kWc7yXZnDtTce7AzarMpQK,HZqWbyJ6XCibF6AWWM1HL9kWc7yXZnDtTce7AzarMpQK,SOL (tsUSDC)
