,asset,date,count
0,BTC,2021-12-28,35
1,BTC,2021-12-29,22
2,BTC,2021-12-30,17
3,BTC,2021-12-31,20
4,BTC,2022-01-01,1
5,BTC,2022-01-03,2
6,BTC,2022-01-04,1
7,BTC,2022-01-05,1
8,BTC,2022-01-07,2
9,BTC,2022-01-08,3
10,BTC,2022-01-09,7
11,BTC,2022-01-12,2
12,BTC,2022-01-13,5
13,BTC,2022-01-14,2
14,BTC,2022-01-15,1
15,BTC,2022-01-17,9
16,BTC,2022-01-18,2
17,BTC,2022-01-19,2
18,BTC,2022-01-21,3
19,BTC,2022-01-22,2
20,BTC,2022-01-23,1
21,BTC,2022-01-25,3
22,BTC,2022-01-26,1
23,BTC,2022-01-28,1
24,BTC,2022-01-29,1
25,BTC,2022-01-30,5
26,BTC,2022-01-31,2
27,BTC,2022-02-03,4
28,BTC,2022-02-04,4
29,BTC,2022-02-05,1
30,BTC,2022-02-07,1
31,BTC,2022-02-08,2
32,BTC,2022-02-11,2
33,BTC,2022-02-12,1
34,BTC,2022-02-13,1
35,BTC,2022-02-14,1
36,BTC,2022-02-15,1
37,BTC,2022-02-16,1
38,BTC,2022-02-17,4
39,BTC,2022-02-18,3
40,BTC,2022-02-19,1
41,BTC,2022-02-21,3
42,BTC,2022-02-22,1
43,BTC,2022-02-25,2
44,BTC,2022-02-26,2
45,BTC,2022-02-27,2
46,BTC,2022-02-28,3
47,BTC,2022-03-01,1
48,BTC,2022-03-02,3
49,BTC,2022-03-03,5
50,BTC,2022-03-04,1
51,BTC,2022-03-05,3
52,BTC,2022-03-06,7
53,BTC,2022-03-07,1
54,BTC,2022-03-08,1
55,BTC,2022-03-09,2
56,BTC,2022-03-10,2
57,BTC,2022-03-11,2
58,BTC,2022-03-14,1
59,ETH,2022-01-30,17
60,ETH,2022-01-31,9
61,ETH,2022-02-01,5
62,ETH,2022-02-02,8
63,ETH,2022-02-03,6
64,ETH,2022-02-04,9
65,ETH,2022-02-05,1
66,ETH,2022-02-06,1
67,ETH,2022-02-07,3
68,ETH,2022-02-08,1
69,ETH,2022-02-09,2
70,ETH,2022-02-10,1
71,ETH,2022-02-11,3
72,ETH,2022-02-12,2
73,ETH,2022-02-13,2
74,ETH,2022-02-14,3
75,ETH,2022-02-15,1
76,ETH,2022-02-16,1
77,ETH,2022-02-17,2
78,ETH,2022-02-18,6
79,ETH,2022-02-20,1
80,ETH,2022-02-23,1
81,ETH,2022-02-25,3
82,ETH,2022-02-26,1
83,ETH,2022-02-27,1
84,ETH,2022-02-28,2
85,ETH,2022-03-01,2
86,ETH,2022-03-02,1
87,ETH,2022-03-03,3
88,ETH,2022-03-04,3
89,ETH,2022-03-06,5
90,ETH,2022-03-07,1
91,ETH,2022-03-10,2
92,ETH,2022-03-11,4
93,ETH,2022-03-12,1
94,LUNA,2022-01-16,30
95,LUNA,2022-01-17,25
96,LUNA,2022-01-18,12
97,LUNA,2022-01-19,12
98,LUNA,2022-01-20,9
99,LUNA,2022-01-21,14
100,LUNA,2022-01-22,3
101,LUNA,2022-01-23,3
102,LUNA,2022-01-24,3
103,LUNA,2022-01-25,6
104,LUNA,2022-01-26,4
105,LUNA,2022-01-27,4
106,LUNA,2022-01-28,4
107,LUNA,2022-01-29,10
108,LUNA,2022-01-30,5
109,LUNA,2022-01-31,2
110,LUNA,2022-02-01,7
111,LUNA,2022-02-02,5
112,LUNA,2022-02-03,3
113,LUNA,2022-02-04,5
114,LUNA,2022-02-06,10
115,LUNA,2022-02-07,2
116,LUNA,2022-02-08,5
117,LUNA,2022-02-09,7
118,LUNA,2022-02-10,7
119,LUNA,2022-02-11,8
120,LUNA,2022-02-12,5
121,LUNA,2022-02-13,2
122,LUNA,2022-02-14,10
123,LUNA,2022-02-15,10
124,LUNA,2022-02-16,6
125,LUNA,2022-02-17,18
126,LUNA,2022-02-18,16
127,LUNA,2022-02-19,2
128,LUNA,2022-02-20,5
129,LUNA,2022-02-21,5
130,LUNA,2022-02-22,8
131,LUNA,2022-02-23,11
132,LUNA,2022-02-24,17
133,LUNA,2022-02-25,9
134,LUNA,2022-02-26,3
135,LUNA,2022-02-27,2
136,LUNA,2022-02-28,3
137,LUNA,2022-03-01,8
138,LUNA,2022-03-02,12
139,LUNA,2022-03-03,17
140,LUNA,2022-03-04,7
141,LUNA,2022-03-05,7
142,LUNA,2022-03-06,11
143,LUNA,2022-03-07,5
144,LUNA,2022-03-08,2
145,LUNA,2022-03-09,4
146,LUNA,2022-03-10,7
147,LUNA,2022-03-11,7
148,LUNA,2022-03-12,1
149,LUNA,2022-03-13,2
150,LUNA,2022-03-14,5
151,LUNA,2022-03-15,5
152,MNGO,2021-12-28,29
153,MNGO,2021-12-29,15
154,MNGO,2021-12-30,15
155,MNGO,2021-12-31,6
156,MNGO,2022-01-01,8
157,MNGO,2022-01-02,3
158,MNGO,2022-01-03,3
159,MNGO,2022-01-04,3
160,MNGO,2022-01-05,2
161,MNGO,2022-01-06,4
162,MNGO,2022-01-07,1
163,MNGO,2022-01-08,4
164,MNGO,2022-01-09,5
165,MNGO,2022-01-10,8
166,MNGO,2022-01-11,3
167,MNGO,2022-01-12,2
168,MNGO,2022-01-13,1
169,MNGO,2022-01-14,3
170,MNGO,2022-01-15,1
171,MNGO,2022-01-16,1
172,MNGO,2022-01-17,6
173,MNGO,2022-01-18,1
174,MNGO,2022-01-19,2
175,MNGO,2022-01-20,2
176,MNGO,2022-01-21,1
177,MNGO,2022-01-25,3
178,MNGO,2022-01-26,2
179,MNGO,2022-01-27,1
180,MNGO,2022-01-28,2
181,MNGO,2022-01-30,1
182,MNGO,2022-02-03,1
183,MNGO,2022-02-05,12
184,MNGO,2022-02-06,12
185,MNGO,2022-02-07,7
186,MNGO,2022-02-08,7
187,MNGO,2022-02-09,8
188,MNGO,2022-02-10,19
189,MNGO,2022-02-11,22
190,MNGO,2022-02-13,4
191,MNGO,2022-02-14,4
192,MNGO,2022-02-15,4
193,MNGO,2022-02-16,12
194,MNGO,2022-02-17,13
195,MNGO,2022-02-18,7
196,MNGO,2022-02-21,1
197,MNGO,2022-02-22,1
198,MNGO,2022-02-23,1
199,MNGO,2022-02-25,3
200,MNGO,2022-02-26,1
201,MNGO,2022-02-28,2
202,MNGO,2022-03-03,1
203,MNGO,2022-03-04,1
204,MNGO,2022-03-06,1
205,SOL,2021-12-28,81
206,SOL,2021-12-29,80
207,SOL,2021-12-30,75
208,SOL,2021-12-31,68
209,SOL,2022-01-01,84
210,SOL,2022-01-02,147
211,SOL,2022-01-03,109
212,SOL,2022-01-04,109
213,SOL,2022-01-05,62
214,SOL,2022-01-06,46
215,SOL,2022-01-07,39
216,SOL,2022-01-08,1
217,SOL,2022-01-10,10
218,SOL,2022-01-11,45
219,SOL,2022-01-12,59
220,SOL,2022-01-13,49
221,SOL,2022-01-14,62
222,SOL,2022-01-15,45
223,SOL,2022-01-16,51
224,SOL,2022-01-17,41
225,SOL,2022-01-18,45
226,SOL,2022-01-19,45
227,SOL,2022-01-20,43
228,SOL,2022-01-21,46
229,SOL,2022-01-22,16
230,SOL,2022-01-23,19
231,SOL,2022-01-24,61
232,SOL,2022-01-25,175
233,SOL,2022-01-26,56
234,SOL,2022-01-27,55
235,SOL,2022-01-28,39
236,SOL,2022-01-29,18
237,SOL,2022-01-30,30
238,SOL,2022-01-31,18
239,SOL,2022-02-01,19
240,SOL,2022-02-02,31
241,SOL,2022-02-03,17
242,SOL,2022-02-04,35
243,SOL,2022-02-05,12
244,SOL,2022-02-06,16
245,SOL,2022-02-07,15
246,SOL,2022-02-08,12
247,SOL,2022-02-09,13
248,SOL,2022-02-10,14
249,SOL,2022-02-11,12
250,SOL,2022-02-12,13
251,SOL,2022-02-13,8
252,SOL,2022-02-14,11
253,SOL,2022-02-15,8
254,SOL,2022-02-16,6
255,SOL,2022-02-17,9
256,SOL,2022-02-18,14
257,SOL,2022-02-19,7
258,SOL,2022-02-20,3
259,SOL,2022-02-21,3
260,SOL,2022-02-22,7
261,SOL,2022-02-23,4
262,SOL,2022-02-24,5
263,SOL,2022-02-25,10
264,SOL,2022-02-26,4
265,SOL,2022-02-27,2
266,SOL,2022-02-28,3
267,SOL,2022-03-01,3
268,SOL,2022-03-02,6
269,SOL,2022-03-03,10
270,SOL,2022-03-04,8
271,SOL,2022-03-05,3
272,SOL,2022-03-06,20
273,SOL,2022-03-07,3
274,SOL,2022-03-08,3
275,SOL,2022-03-09,1
276,SOL,2022-03-10,3
277,SOL,2022-03-11,4
278,SOL,2022-03-12,3
279,SOL,2022-03-14,4
280,SOL,2022-03-15,4
281,SOL (tsUSDC),2022-02-02,1
282,SOL (tsUSDC),2022-02-05,24
283,SOL (tsUSDC),2022-02-06,27
284,SOL (tsUSDC),2022-02-07,6
285,SOL (tsUSDC),2022-02-08,14
286,SOL (tsUSDC),2022-02-09,8
287,SOL (tsUSDC),2022-02-10,8
288,SOL (tsUSDC),2022-02-11,5
289,SOL (tsUSDC),2022-02-12,3
290,SOL (tsUSDC),2022-02-13,3
291,SOL (tsUSDC),2022-02-14,1
292,SOL (tsUSDC),2022-02-15,2
293,SOL (tsUSDC),2022-02-16,3
294,SOL (tsUSDC),2022-02-17,4
295,SOL (tsUSDC),2022-02-18,4
296,SOL (tsUSDC),2022-02-20,2
297,SOL (tsUSDC),2022-02-21,1
298,SOL (tsUSDC),2022-02-22,1
299,SOL (tsUSDC),2022-02-25,3
300,SOL (tsUSDC),2022-02-28,1
301,SOL (tsUSDC),2022-03-01,1
302,SOL (tsUSDC),2022-03-02,3
303,SOL (tsUSDC),2022-03-04,1
304,SOL (tsUSDC),2022-03-07,1
305,SOL (tsUSDC),2022-03-08,1
306,SOL (tsUSDC),2022-03-10,1
307,SOL (tsUSDC),2022-03-11,1
308,SOL (tsUSDC),2022-03-12,1
